t,x,v
5.233,0.000160753179693,-0.000270639942703
5.234,0.000160482767443,-0.000270184683555
5.235,0.00016021281007,-0.000269730190225
5.236,0.000159943306808,-0.000269276461424
5.237,0.000159674256893,-0.000268823495867
5.238,0.000159405659562,-0.00026837129227
5.239,0.000159137514055,-0.00026791984935
5.24,0.00015886981961,-0.000267469165829
5.241,0.00015860257547,-0.000267019240428
5.242,0.000158335780877,-0.000266570071873
5.243,0.000158069435075,-0.000266121658891
5.244,0.000157803537308,-0.00026567400021
5.245,0.000157538086823,-0.000265227094562
5.246,0.000157273082868,-0.00026478094068
5.247,0.000157008524692,-0.000264335537299
5.248,0.000156744411544,-0.000263890883157
5.249,0.000156480742676,-0.000263446976993
5.25,0.000156217517341,-0.00026300381755
5.251,0.000155954734793,-0.000262561403571
5.252,0.000155692394286,-0.000262119733802
5.253,0.000155430495077,-0.000261678806992
5.254,0.000155169036425,-0.00026123862189
5.255,0.000154908017587,-0.000260799177249
5.256,0.000154647437824,-0.000260360471823
5.257,0.000154387296397,-0.00025992250437
5.258,0.000154127592569,-0.000259485273646
5.259,0.000153868325605,-0.000259048778414
5.26,0.000153609494768,-0.000258613017436
5.261,0.000153351099325,-0.000258177989476
5.262,0.000153093138545,-0.000257743693303
5.263,0.000152835611695,-0.000257310127684
5.264,0.000152578518047,-0.000256877291391
5.265,0.00015232185687,-0.000256445183197
5.266,0.000152065627438,-0.000256013801877
5.267,0.000151809829024,-0.000255583146209
5.268,0.000151554460904,-0.000255153214972
5.269,0.000151299522353,-0.000254724006947
5.27,0.000151045012649,-0.000254295520918
5.271,0.000150790931071,-0.00025386775567
5.272,0.000150537276898,-0.00025344070999
5.273,0.000150284049412,-0.000253014382669
5.274,0.000150031247894,-0.000252588772498
5.275,0.000149778871628,-0.000252163878271
5.276,0.000149526919899,-0.000251739698782
5.277,0.000149275391993,-0.000251316232831
5.278,0.000149024287196,-0.000250893479216
5.279,0.000148773604797,-0.00025047143674
5.28,0.000148523344086,-0.000250050104206
5.281,0.000148273504353,-0.000249629480419
5.282,0.000148024084889,-0.000249209564189
