time,energy,energy_error,angle,angular_velocity
0.376778,2.87035,-2.70894e-14,0.335788,-2.15547
0.378524,2.87035,-2.75335e-14,0.332019,-2.16108
0.380267,2.87035,-2.79776e-14,0.328248,-2.16662
0.382008,2.87035,-2.88658e-14,0.324473,-2.17209
0.383745,2.87035,-2.9754e-14,0.320694,-2.17748
0.38548,2.87035,-2.88658e-14,0.316912,-2.18281
0.387212,2.87035,-2.88658e-14,0.313127,-2.18807
0.388941,2.87035,-2.79776e-14,0.309338,-2.19326
0.390668,2.87035,-2.79776e-14,0.305546,-2.19838
0.392392,2.87035,-2.75335e-14,0.301751,-2.20344
0.394114,2.87035,-2.84217e-14,0.297953,-2.20842
0.395833,2.87035,-2.88658e-14,0.294152,-2.21334
0.39755,2.87035,-2.93099e-14,0.290348,-2.21818
0.399265,2.87035,-3.06422e-14,0.286541,-2.22296
0.400977,2.87035,-3.06422e-14,0.282731,-2.22767
0.402686,2.87035,-3.01981e-14,0.278919,-2.23232
0.404394,2.87035,-3.06422e-14,0.275103,-2.23689
0.406099,2.87035,-3.10862e-14,0.271285,-2.2414
0.407802,2.87035,-2.9754e-14,0.267465,-2.24584
0.409503,2.87035,-3.01981e-14,0.263641,-2.25022
0.411201,2.87035,-2.93099e-14,0.259815,-2.25452
0.412898,2.87035,-2.88658e-14,0.255987,-2.25877
0.414592,2.87035,-2.70894e-14,0.252156,-2.26294
0.416285,2.87035,-2.79776e-14,0.248323,-2.26705
0.417975,2.87035,-2.79776e-14,0.244487,-2.27109
0.419664,2.87035,-2.93099e-14,0.240649,-2.27506
0.42135,2.87035,-2.84217e-14,0.236808,-2.27897
0.423035,2.87035,-2.9754e-14,0.232966,-2.28281
0.424718,2.87035,-2.93099e-14,0.229121,-2.28659
0.426399,2.87035,-2.93099e-14,0.225274,-2.2903
0.428078,2.87035,-2.84217e-14,0.221425,-2.29394
0.429755,2.87035,-2.93099e-14,0.217574,-2.29752
0.431431,2.87035,-2.93099e-14,0.213721,-2.30104
0.433105,2.87035,-2.9754e-14,0.209865,-2.30449
0.434778,2.87035,-2.93099e-14,0.206008,-2.30787
0.436449,2.87035,-2.93099e-14,0.202149,-2.31119
0.438118,2.87035,-3.01981e-14,0.198288,-2.31444
0.439786,2.87035,-2.93099e-14,0.194426,-2.31763
0.441452,2.87035,-2.9754e-14,0.190561,-2.32076
0.443117,2.87035,-2.93099e-14,0.186695,-2.32382
0.44478,2.87035,-2.88658e-14,0.182827,-2.32681
