t,x_num,v_num,x_exact,energy_num
1.696,-0.332819544653,5.92498427964,-0.332819544523,19.7392088022
1.697,-0.326888029786,5.93800642804,-0.326888029655,19.7392088022
1.698,-0.320943609938,5.95079415411,-0.320943609808,19.7392088022
1.699,-0.314986519787,5.96334695303,-0.314986519656,19.7392088022
1.7,-0.309016994507,5.97566432921,-0.309016994375,19.7392088022
1.701,-0.303035269765,5.9877457964,-0.303035269633,19.7392088022
1.702,-0.297041581709,5.99959087764,-0.297041581577,19.7392088022
1.703,-0.291036166961,6.0111991053,-0.291036166829,19.7392088022
1.704,-0.285019262603,6.02257002111,-0.28501926247,19.7392088022
1.705,-0.278991106173,6.03370317617,-0.27899110604,19.7392088022
1.706,-0.272951935651,6.04459813097,-0.272951935518,19.7392088022
1.707,-0.266901989454,6.05525445537,-0.266901989321,19.7392088021
1.708,-0.260841506424,6.06567172871,-0.26084150629,19.7392088021
1.709,-0.254770725818,6.0758495397,-0.254770725684,19.7392088021
1.71,-0.2486898873,6.08578748656,-0.248689887165,19.7392088021
1.711,-0.242599230931,6.09548517695,-0.242599230796,19.7392088021
1.712,-0.236498997159,6.10494222803,-0.236498997024,19.7392088021
1.713,-0.230389426812,6.11415826643,-0.230389426677,19.7392088021
1.714,-0.224270761086,6.12313292834,-0.22427076095,19.7392088021
1.715,-0.218143241533,6.13186585945,-0.218143241397,19.7392088021
1.716,-0.212007110059,6.14035671499,-0.212007109923,19.7392088021
1.717,-0.205862608907,6.14860515976,-0.20586260877,19.7392088021
1.718,-0.199709980652,6.15661086813,-0.199709980515,19.7392088021
1.719,-0.193549468188,6.16437352404,-0.193549468051,19.7392088021
1.72,-0.187381314723,6.17189282104,-0.187381314586,19.7392088021
1.721,-0.181205763765,6.17916846228,-0.181205763628,19.7392088021
1.722,-0.175023059114,6.18620016053,-0.175023058976,19.7392088021
1.723,-0.168833444851,6.19298763819,-0.168833444713,19.7392088021
1.724,-0.162637165334,6.1995306273,-0.162637165195,19.7392088021
1.725,-0.156434465179,6.20582886956,-0.156434465041,19.7392088021
1.726,-0.15022558926,6.21188211632,-0.150225589121,19.7392088021
1.727,-0.144010782692,6.21769012861,-0.144010782553,19.7392088021
